ID da Consulta,Modelo,Data/Hora,Tempo de Execução (s)
5181,ollama/TinyLLaMA,2025-05-01 19:34:07,285.59
5183,ollama/TinyLLaMA,2025-05-01 19:37:29,176.77
5185,ollama/llama3.2,2025-05-01 23:02:03,66.51
5183,ollama/llama3.2,2025-05-01 23:05:02,54.83
5181,ollama/llama3.2,2025-05-02 01:14:53,63.33
5184,ollama/llama3.2,2025-05-02 01:17:30,75.94
5182,ollama/llama3.2,2025-05-02 01:21:28,21.98
5184,ollama/llama3.2,2025-05-02 01:31:24,72.23
5183,ollama/llama3.2,2025-05-02 02:27:52,121.79
5181,ollama/gemma3,2025-05-02 14:10:11,100.91
5181,ollama/gemma3,2025-05-02 14:13:09,111.26
5184,ollama/deepseek-r1,2025-05-02 14:32:51,219.82
5181,ollama/deepseek-r1,2025-05-02 16:13:35,223.61
5181,ollama/deepseek-r1,2025-05-02 16:21:31,275.95
5181,ollama/deepseek-r1,2025-05-02 16:33:32,256.09
5181,llama3.2:latest,2025-05-02 16:37:58,196.53
5181,ollama/llama3.2,2025-05-02 17:30:15,47.62
5181,ollama/Qwen2.5,2025-05-02 19:22:09,113.84
5181,ollama/openhermes,2025-05-02 19:24:44,105.7
5181,ollama/Qwen2.5,2025-05-02 19:31:23,111.01
5181,ollama/llama3.2,2025-05-02 19:36:48,45.89
5181,ollama/deepseek-r1,2025-05-02 19:49:01,297.38
5181,ollama/llama3.2,2025-05-02 19:55:46,52.78
5181,ollama/llama3.2,2025-05-02 20:03:43,51.58
5181,ollama/deepseek-r1,2025-05-02 20:08:46,260.34
5181,ollama/Qwen2.5,2025-05-02 20:13:11,103.33
5185,ollama/llama3.2,2025-05-02 20:18:15,82.19
5181,ollama/llama3.2,2025-05-02 20:42:49,35.73
5181,ollama/llama3.2,2025-05-02 20:49:11,272.83
5181,ollama/Qwen2.5,2025-05-02 20:59:49,127.87
